	 All,              One,        K,    D
  8709328.00,    21556505.00  ,      1  ,   12
  13372381.00,    59879769.00 ,      5  ,   12
  18452367.00,    79472426.00 ,      17 ,   12
29698582.00,    93500936.00,      1  ,    12
 50492276.00,    170651013.00 ,      5  ,   12
121492658.00,    322555661.00,      17 ,    12
